"displacement:0","displacement:1","displacement:2","nodal_GL_strains_xyz:0","nodal_GL_strains_xyz:1","nodal_GL_strains_xyz:2","nodal_GL_strains_xyz:3","nodal_GL_strains_xyz:4","nodal_GL_strains_xyz:5","nodal_cauchy_stresses_xyz:0","nodal_cauchy_stresses_xyz:1","nodal_cauchy_stresses_xyz:2","nodal_cauchy_stresses_xyz:3","nodal_cauchy_stresses_xyz:4","nodal_cauchy_stresses_xyz:5","Points:0","Points:1","Points:2"
-0.05,0.8,0,1.5,-1.5855e-15,-0.375,4.4713e-16,0,0,375,75,0,1.0533e-13,0,0,-0.05,0.25,0,1.0e-9
-0.1,0.8,0,1.5,2.3263e-15,-0.375,8.4345e-17,0,0,375,75,0,2.0491e-13,0,0,-0.1,0.25,0,1.0e-9
-0.15,0.8,0,1.5,2.6842e-15,-0.375,1.9268e-16,0,0,375,75,0,3.9602e-14,0,0,-0.15,0.25,0,1.0e-9
-0.2,0.8,0,1.5,2.3413e-16,-0.375,-3.3961e-15,0,0,375,75,0,-5.1673e-13,0,0,-0.2,0.25,0,1.0e-9
-0.25,0.8,0,1.5,-2.2424e-15,-0.375,6.5853e-16,0,0,375,75,0,1.0536e-13,0,0,-0.25,0.25,0,1.0e-9
-0.3,0.8,0,1.5,-4.8803e-17,-0.375,-7.397e-16,0,0,375,75,0,-1.1835e-13,0,0,-0.3,0.25,0,1.0e-9
-0.35,0.8,0,1.5,1.424e-15,-0.375,-2.4382e-15,0,0,375,75,0,-3.5615e-13,0,0,-0.35,0.25,0,1.0e-9
-0.4,0.8,0,1.5,-4.8619e-16,-0.375,4.2487e-15,0,0,375,75,0,6.6403e-13,0,0,-0.4,0.25,0,1.0e-9
-0.45,0.8,0,1.5,1.6109e-16,-0.375,-5.302e-16,0,0,375,75,0,-1.3196e-13,0,0,-0.45,0.25,0,1.0e-9
-0.5,0.8,0,1.5,-1.2084e-16,-0.375,-7.4104e-16,0,0,375,75,0,-2.1283e-13,0,0,-0.5,0.25,0,1.0e-9
0.45,0.8,0,1.5,-2.0552e-16,-0.375,3.0232e-15,0,0,375,75,0,4.4431e-13,0,0,0.45,0.2,0,1.0e-9
0.5,0.8,0,1.5,1.9933e-15,-0.375,-3.5466e-15,0,0,375,75,0,-5.6876e-13,0,0,0.5,0.2,0,1.0e-9
0.4,0.8,0,1.5,-2.9535e-16,-0.375,-1.3454e-15,0,0,375,75,0,-1.2793e-13,0,0,0.4,0.2,0,1.0e-9
0.35,0.8,0,1.5,-4.2639e-15,-0.375,-2.6971e-15,0,0,375,75,0,-3.5045e-13,0,0,0.35,0.2,0,1.0e-9
0.3,0.8,0,1.5,4.1095e-15,-0.375,3.5211e-15,0,0,375,75,0,4.0259e-13,0,0,0.3,0.2,0,1.0e-9
0.25,0.8,0,1.5,-1.7246e-15,-0.375,1.3684e-15,0,0,375,75,0,1.7564e-13,0,0,0.25,0.2,0,1.0e-9
0.2,0.8,0,1.5,8.1254e-16,-0.375,-1.4435e-15,0,0,375,75,0,-1.1008e-13,0,0,0.2,0.2,0,1.0e-9
0.15,0.8,0,1.5,7.1985e-16,-0.375,1.3074e-16,0,0,375,75,0,-3.9295e-14,0,0,0.15,0.2,0,1.0e-9
0.1,0.8,0,1.5,-1.2675e-15,-0.375,-6.1569e-17,0,0,375,75,0,-4.8273e-14,0,0,0.1,0.2,0,1.0e-9
0.05,0.8,0,1.5,9.223e-16,-0.375,4.587e-16,0,0,375,75,0,1.0691e-13,0,0,0.05,0.2,0,1.0e-9
0,0.8,0,1.5,-1.3811e-15,-0.375,6.1939e-16,0,0,375,75,0,2.1906e-13,0,0,0,0.2,0,1.0e-9
-0.05,0.8,0,1.5,2.5064e-15,-0.375,-2.9242e-16,0,0,375,75,0,-1.7287e-13,0,0,-0.05,0.2,0,1.0e-9
-0.1,0.8,0,1.5,-4.1786e-16,-0.375,-5.8643e-16,0,0,375,75,0,-8.3685e-14,0,0,-0.1,0.2,0,1.0e-9
-0.15,0.8,0,1.5,-1.2671e-15,-0.375,1.1276e-15,0,0,375,75,0,1.4556e-13,0,0,-0.15,0.2,0,1.0e-9
-0.2,0.8,0,1.5,-2.558e-15,-0.375,1.5193e-16,0,0,375,75,0,2.4635e-14,0,0,-0.2,0.2,0,1.0e-9
-0.25,0.8,0,1.5,1.0159e-17,-0.375,-8.2895e-16,0,0,375,75,0,-1.1345e-13,0,0,-0.25,0.2,0,1.0e-9
-0.3,0.8,0,1.5,-4.35e-16,-0.375,-2.258e-15,0,0,375,75,0,-3.4178e-13,0,0,-0.3,0.2,0,1.0e-9
